region,parent_region,subset,amplitude values,amplitude stderr,center values,center stderr,sigma values,sigma stderr
Saint Barthélemy,France,recovered,30232.962277025923,31432344.19560208,1051.6800537317408,114680.56976791144,109.61144363071949,25.794204709108843
Saint Martin,France,confirmed,4754376.290899802,3884712115.899369,573.7842825528691,32278.89084296436,39.32542321456799,1.7449506014679772
Saint Martin,France,recovered,866789.9266773526,1040897105.6510463,981.7868462599803,104354.15976679797,85.73982849874021,6.011248845996648
Saint Martin,France,deaths,7729.778578974702,4680216.751324239,1104.5831470458909,77332.27105979015,126.6156466299743,33.272941006540734
Saint Pierre and Miquelon,France,confirmed,135092.68781221306,126621625.5309402,600.3239206028035,43017.24865541819,45.643729967129815,2.2537174033289906
Saint Pierre and Miquelon,France,recovered,77048.596720938,129899867.86828358,474.03487251806763,55431.21213134292,32.1063991579059,2.9697501116336804
Anguilla,United Kingdom,confirmed,3.0035576382929574,0.005424832882771816,-0.834290792513865,0.2442282434788237,2.94644276794195,0.2086413637477028
Anguilla,United Kingdom,recovered,3.0146787863743025,0.01758870748822329,25.762019949371076,0.3470428723661315,4.324255456487434,0.3040141510361864
Bermuda,United Kingdom,confirmed,156.9549922061916,1.0556975954742394,33.27866446498653,0.6916341171402335,15.735925233148315,0.6609746546290169
Bermuda,United Kingdom,recovered,150.03141643296703,0.7730681179056657,59.01021335840429,0.5000341629825864,20.040983960411683,0.4362313834521634
Bermuda,United Kingdom,deaths,9.010532986756953,0.048205765189482636,31.860323337705825,0.4598967391753854,9.647801594471536,0.4080733088006917
British Virgin Islands,United Kingdom,confirmed,671256.4199214503,1017382153.3513438,366.32519616887566,32766.520944051026,21.48353687250105,1.9950898008607645
British Virgin Islands,United Kingdom,recovered,91516.55838019944,322142792.1271766,941.9309162490565,313496.89342749404,88.07505349410842,27.2499726826442
British Virgin Islands,United Kingdom,deaths,1.0000000000000149,,21.486512705896192,,0.01914426560845065,
