region,parent_region,subset,amplitude values,amplitude stderr,center values,center stderr,sigma values,sigma stderr
Colombia,#Global,deaths,29050.517456479996,44.84615038146443,205.42528286303371,0.0953884884614597,22.242563371062644,0.05327061994281439
Colombia,#Global,recovered,866649.2554980556,5048.633920964506,220.29573721972383,0.29047132351190447,19.21788237347757,0.14237545810069627
Comoros,#Global,confirmed,451.6508164793746,3.1052977958642325,153.61251546257972,0.5895147081788972,19.06101265686218,0.48452640130301466
Comoros,#Global,deaths,7.106399616719085,0.047675694816513466,143.0625563631632,0.46999571061085754,8.632227454856485,0.40742503844226935
Comoros,#Global,recovered,431.0371997375674,2.7657263760892725,163.81111246591246,0.493922862405946,16.968087204774942,0.40676479395530263
Congo (Brazzaville),#Global,confirmed,5325.642961737261,45.597816373503825,183.0106748137341,0.6458075988331915,23.895776032219167,0.432667242934287
Congo (Brazzaville),#Global,deaths,106.5521256459363,2.44916068364197,182.64548625577382,2.1146486351270957,33.69790315812705,1.1463350876132579
Congo (Brazzaville),#Global,recovered,6593.466778932238,645.3774049131558,237.12972718922882,5.590901457973419,27.249912250470167,1.6656562492022937
Congo (Kinshasa),#Global,confirmed,10328.164658704072,27.881637211753038,147.62873492972653,0.24181891904611694,19.29622967632998,0.2001530177500351
Congo (Kinshasa),#Global,deaths,275.491785445436,1.3193326302053188,154.23725381594664,0.45464004876990016,26.440532865942515,0.34072417595016274
Congo (Kinshasa),#Global,recovered,9991.719590949093,40.6109898794707,180.99203321207986,0.25622819904498445,14.078040194766333,0.21036221491987012
Costa Rica,#Global,confirmed,112705.31954039299,1513.984063570747,234.79190502357068,0.7170715217601235,24.61967351404478,0.23227311460242422
Costa Rica,#Global,deaths,1369.6038563462782,37.08707140517882,238.904112152056,1.2771802278464768,22.123147101007117,0.39679148760774663
Costa Rica,#Global,recovered,141607031.67502812,38649681314.25252,515.4602172537326,8731.3713007631,31.8139338785967,1.2084473645752132
Cote d'Ivoire,#Global,confirmed,19338.393019269064,64.70981068073117,161.08905793064554,0.27495574397218425,19.753917940050282,0.22097729104258768
Cote d'Ivoire,#Global,deaths,124.48991091768238,0.48284530029032713,155.5339005832402,0.36140496352073515,25.69758747289164,0.27250085364667065
Cote d'Ivoire,#Global,recovered,20220.500404966835,60.54987717081199,187.5839088303903,0.21031752594835051,22.088476334720095,0.14203953335459743
Croatia,#Global,confirmed,155916770.8075677,61504116749.032135,749.6198507549343,21519.873244955434,54.59705777467015,1.365487822947334
Croatia,#Global,deaths,475.6594744584679,62.102217656465825,240.78552346311375,16.363561596114547,65.57715067648081,3.9013903416786735
Croatia,#Global,recovered,246445814.66658893,65197716999.83958,723.0493949344254,12838.648009833696,48.51427212109023,0.6982531106351971
Cuba,#Global,confirmed,10733.654144136217,1647.7941071521282,253.23209854348877,19.308277609251636,68.46894579289189,4.139514167471088
Cuba,#Global,deaths,93.40366777367008,0.7764804633532371,94.41998137597703,0.7929601020668811,10.959619456394394,0.688817723249703
Cuba,#Global,recovered,6650.502156519991,586.0288958778885,212.52192542450655,10.437211821805164,55.52074834044735,3.2889124539989836
Cyprus,#Global,confirmed,1555.614685428005,39.567095379652606,119.18220310502664,3.4195404272214285,41.850882324550405,2.5104702991051733
Cyprus,#Global,deaths,19.694599038063604,0.12794736928065184,82.36308848349614,0.7338363489517029,15.013031519423842,0.6349513987645895
Cyprus,#Global,recovered,1120.0060601748842,20.23149481653459,128.21159426697076,1.9933610615283859,26.514840266730186,1.6070759888533985
Czechia,#Global,confirmed,1746663826.1537404,634518969833.0873,727.2512920541216,16840.490834785283,46.39563752961567,1.231363150795768
Czechia,#Global,deaths,464.1506251486408,9.095028314296389,112.30373783408838,2.444133822624328,30.73673699025479,1.9837434122734459
Czechia,#Global,recovered,603337281.5350063,205451866942.4449,854.8775551704074,20786.572345831213,61.122116308068634,1.1142829213818832
Denmark,#Global,confirmed,31723.968870840843,3004.029587699224,190.61100986283046,13.907321945693022,66.23598454709185,5.021143542594951
Denmark,#Global,deaths,614.0753206974701,1.6303118379285477,86.08702266308313,0.26615899865568976,11.511540840868747,0.23121144045344444
Denmark,#Global,recovered,16300.990912830188,300.6505545645898,123.45296342676822,2.206763056444181,31.819268378813142,1.7227089733347654
Denmark (total),#Global,confirmed,1419.485007954191,623.6814773510757,313.1777995758904,66.3701750732147,93.71328283774494,9.903649103591649
Denmark (total),#Global,recovered,1205.079023098051,507.67935790735305,301.31573239727896,61.93747378315368,89.21421672701183,9.822521623044143
Diamond Princess,#Global,confirmed,711.7453574266269,0.5662726115942328,24.481246533449607,0.0471974137884204,2.5903914499207814,0.041476935969545756
Diamond Princess,#Global,deaths,13.012255342697335,0.04412564726477021,49.97184134492301,0.3966518010021934,12.749194365604446,0.34797165501768307
Diamond Princess,#Global,recovered,649.9401303391497,2.1522893346435854,55.776515724191405,0.2721010184778625,5.993555570731175,0.23829165208497666
Djibouti,#Global,confirmed,5321.344904149872,21.256689415481024,123.90109072897836,0.37660597593560263,14.67665300915106,0.323254646630936
Djibouti,#Global,deaths,59.63154912132139,0.1276639507517981,136.6745796081384,0.16807569619449814,10.600648490620827,0.1452306242438615
Djibouti,#Global,recovered,5295.109483037818,19.367620009854544,140.49455495247804,0.3130843002555869,14.333864496830238,0.2674774615747683
Dominica,#Global,confirmed,18.942434077859584,0.22576648768296448,68.19320236538854,0.9554131710126368,6.115247495002878,0.8362683997123928
Dominica,#Global,recovered,17.992169457202483,0.12449067898913313,91.28685730143866,0.6443212796446637,10.078381914599374,0.5605640833111994
Dominican Republic,#Global,confirmed,123534.1502831836,725.0940830765636,185.97071811959802,0.4790081358584917,28.55023382993829,0.2806603245635512
Dominican Republic,#Global,deaths,3023.6865090407955,75.33614940755028,210.35140184306317,2.5326862742722334,45.7398823081084,0.8751179823227717
